ID,Loại tin,Giá,Diện tích (m²),Hướng nhà,Hướng ban công,Pháp lý,Chiều ngang,Chiều dài,Số phòng ngủ,Số phòng vệ sinh,Số tầng,Nội thất,URL,Địa chỉ,Mô tả,Khoảng giá,Khoảng diện tích,Thành phố
0,Mua bán,540000000,52,,, Đã có sổ,,,2,2,, Nội thất cao cấp,https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-tay-ho-ha-noi/101455943.htm#px=SR-stickyad-[PO-1][PL-top],"Trích Sài, Phường Bưởi, Quận Tây Hồ, Hà Nội","CHỦ ĐẦU TƯ MỞ BÁN TRỰC TIẾP CHUNG CƯ TRÍCH SÀI-VĂN CAO, Ô tô đỗ cửa, View Hồ Tây1. Vị trí Chung cư TRÍCH SÀI-VÕNG THỊ+ Cách Hồ Tây: 50m.+ Gần các tuyến phố Lạc Long Quân, Thụy Khuê, Hoàng Hoa Thám, Văn Cao, Nguyễn Đình Thi, Lạc Long Quân, Liễu Giai,...2. Diện tích và giá bán.  -Diện tích: 30m2-36m2-48m2-50m2-55m2-60m2-65m2-98m2-Giá bán :520tr_ 650tr - 850tr - 900tr- Hơn 1 tỷ/căn3. Pháp Lý: Sổ hồng riêng từng căn vĩnh viễn, hợp đồng công chứng nhà nước4. Nội Thất : Sàn gỗ, tủ bếp, trần thạch cao, thiết bị vệ sinh, bình nóng lạnh, đèn Led, giường , tủ, sofa ...Tòa nhà thiết kế tầng 1 để xe rộng, 2 thang máy nhập khẩu, 2 thang bộ, phòng cháy chữa cháy tự động, an ninh tòa nhà bảo vệ chuyên nghiệp 24/24. Liên hệ ngay hotline Chủ Đầu Tư",Từ 500000000 đến 1000000000,Từ 50 đến 100,Hà Nội
1,Mua bán,560000000,110,,, Đã có sổ, 5 m, 22 m,,,,,https://www.nhatot.com/mua-ban-dat-huyen-hoc-mon-tp-ho-chi-minh/108321443.htm#px=SR-stickyad-[PO-2][PL-top],"Tân Hiệp 26, Xã Tân Hiệp, Huyện Hóc Môn, Tp Hồ Chí Minh","Gia đình mình cần bán gấp nhà cấp 4 cũ kế đường Xuyên ÁDiện tích ngang 5 dài 22 tổng 110m2 thổ cư, sổ riêngXung quanh nhà xây sát nhau, đường đẹp không ngậpChạy ra Xuyên Á 400m , xung quanh gần chợ, trường họcGọi trực tiếp cho mình, mình không tiếp môi giới",Từ 500000000 đến 1000000000,Từ 100 đến 500,Tp Hồ Chí Minh
2,Mua bán,560000000,110, Đông Nam,, Đã có sổ, 5 m, 21 m,,,,,https://www.nhatot.com/mua-ban-dat-huyen-cai-be-tien-giang/106639715.htm#px=SR-stickyad-[PO-3][PL-top],"Liền kề nhà 467M khu 1, Cái Bè, Tiền Giang, Khu Dân Cư Đường Chú Đặng (CA Thị Trấn), Thị trấn Cái Bè, Huyện Cái Bè, Tiền Giang","- Bán đất giá rẻ lộ rộng 3,5m trung tâm Khu 1 thị trấn Cái Bè. Gần trường học, Siêu thị CoopMart đang xây, chợ...- Giá: 560 triệu/nền. - Diện tích: 5*21. Sổ đỏ trao tay. Đất sạch không quy hoạch. Xây d",Từ 500000000 đến 1000000000,Từ 100 đến 500,Tiền Giang
3,Mua bán,13500000000,431,,, Đã có sổ, 10 m, 45 m,,,,,https://www.nhatot.com/mua-ban-dat-thanh-pho-thu-duc-tp-ho-chi-minh/108253655.htm#px=SR-stickyad-[PO-4][PL-top],"Mặt tiền đường, Số 7, Phường Long Phước (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","Tôi chính chủ, cần bán gấp mảnh đất 10x45m, mặt tiền đường Số 7, Long Phước để giải quyết việc gia đình.Diện tích 431m² (thực tế nhiều gần 450m²) chiều ngang 10m mặt tiền đường hiện hữu 7m quy hoạch 20m.Gần chợ Long Phước, trường học, ủy ban phường...Thương lượng giá cho khách thiện chí muaLiên hệ chính chủ",Lớn hơn 5000000000,Từ 100 đến 500,Tp Hồ Chí Minh
4,Mua bán,4650000000,58, Đông Bắc,,, 4 m, 15 m,4,4,20,,https://www.nhatot.com/mua-ban-nha-dat-quan-12-tp-ho-chi-minh/108488922.htm#px=SR-stickyad-[PO-5][PL-top],"Thạnh lộc 19, Phường Thạnh Lộc, Quận 12, Tp Hồ Chí Minh",Hàng hiếm Nhà đẹp Tl19 Vạn Xuân4x15m. 2m sân sau thêm2 lầu 4pnĐường 8mGiá: 4.65 tỷ tl,Từ 1000000000 đến 5000000000,Từ 50 đến 100,Tp Hồ Chí Minh
5,Mua bán,1400000000,60,,,,,,2,,,,https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-ha-dong-ha-noi/106592480.htm,"Khu Đô Thị Kiến Hưng, Phường Kiến Hưng, Quận Hà Đông, Hà Nội","+ Gấp! Gia đình cần tiền bán gấp căn hộ chung cư Hưng Thịnh, Kiến Hưng, Hà Đông+ Diện tích 60m².+ Căn hộ thiết kế 2 phòng ngủ, 1 vệ sinh.+ Căn hộ thoáng sáng, khu vực an sinh đỉnh, tiện ích không thi�",Từ 1000000000 đến 5000000000,Từ 50 đến 100,Hà Nội
6,Mua bán,2590000000,85,,,,,,2,,,,https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-long-bien-ha-noi/106620343.htm,"Kim giang, Phường Ngọc Thụy, Quận Long Biên, Hà Nội","+ Gấp! Gia đình cần tiền bán gấp căn hộ chung cư Bộ Công An 66 đường Kim giang, Thanh Xuân, Hà Nội+ Diện tích 85m².+ Căn hộ thiết kế 2 phòng ngủ, 2 vệ sinh.+ Nội thất đẹp nhà về ở ngay+ Căn hộ thoá",Từ 1000000000 đến 5000000000,Từ 50 đến 100,Hà Nội
7,Mua bán,1450000000,60,,,,,,2,,,,https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-ha-dong-ha-noi/107438106.htm,"Kiến Hưng, Phường Kiến Hưng, Quận Hà Đông, Hà Nội","+ Gia đình chuyển sang liền kề nên cần bán gấp căn hộ chung cư Hưng Thịnh, Phường Kiến Hưng, quận Hà Đông+ Diện tích 60m2, 2 phòng ngủ, 1 vệ sinh (Ảnh thật căn bán 100%)+Giá bán: 1,45 tỷ+ Căn hộ đượ",Từ 1000000000 đến 5000000000,Từ 50 đến 100,Hà Nội
8,Mua bán,2600000000,300,,, Đã có sổ, 6.5 m, 42 m,,,,,https://www.nhatot.com/mua-ban-dat-huyen-ben-luc-long-an/105177217.htm,"Vành Đai 4, Xã Lương Hòa, Huyện Bến Lức, Long An","Đất thổ cư 6,5 x 42 nở hậu 7,9 tổng 300m2 mặt tiền đường nhựa 10m thông.Nhánh Vành Đai 4.Ấp 10,xã Lương Hòa,huyện Bến Lức.Gần KCN Phú An Thạnh.Lô đất đã xây ranh rõ ràng.Phù hợp để xây Hotel,nhà trọ,nhà + phòng trọ...Sổ hồng riêng,mua bán công chứng sang tên.Không tiếp quảng cáo,vui lòng không gọi.Cảm ơn mọi người đã xem tin !",Từ 1000000000 đến 5000000000,Từ 100 đến 500,Long An
9,Mua bán,1900000000,60,,,,,,2,1,,,https://www.nhatot.com/mua-ban-can-ho-chung-cu-thanh-pho-thu-duc-tp-ho-chi-minh/106462081.htm,"Nguyễn Xiển, Phường Long Thạnh Mỹ (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","Em Hạnh xin phép gửi anh chị giỏ hàng căn hộ 2pn1wc Ranibow giá tốt hiện nay ạ. Giá em báo bên dưới là 100% giá trị căn hộ, người mua không cần phải trả thêm bất cứ phí gì hét ạ, đã gồm cả 5% ra sổ ạ. S105 hướng Tây Nam giá 1.9 tỷS101 Hướng Tây Nam giá 1.920 tỷS106 Hướng Tây Bắc có sẵn bếp rèm đẹp, view Landmark 81 giá 1.980 tỷS301 Tây Nam view hồ bơi cực đẹp, đã có sổ hồng.S302 Hướng Đông Nam có sổ công chứng sang tên trong ngày giá 2.120 tỷS303 hướng Đông Bắc full nội thất gỗ mới làm, có sổ hồng công chứng trong ngày giá 2.150 tỷEm Hạnh cam kết tư vấn thật, sản phẩm thật.Có thể coi nhà 24/7.Em có nhiều kinh nghiệm hỗ trợ hồ sơ mua bán chuyển nhượng sản phẩm căn hộ Vinhomes nên đảm bảo pháp lý và tránh cho khách hàng gặp phải những rủi ro không đáng có.Với thái độ làm việc chuyên nghiệp và cầu tiến em mong mang đến những sản phẩm căn hộ có giá mua *** đến quý khách hàng.",Từ 1000000000 đến 5000000000,Từ 50 đến 100,Tp Hồ Chí Minh
